url,title,status
https://docs.anthology.com/docs/archive/b2/getting-started/archive-b2-gs-api_docs,"B2 API Documentation",deprecated
https://docs.anthology.com/docs/archive/b2/getting-started/archive-b2-gs-api_overview,"B2s and Java Permissions",deprecated
https://docs.anthology.com/docs/archive/b2/getting-started/archive-b2-gs-dev_life_cycle,"Development Life Cycle",deprecated
https://docs.anthology.com/docs/archive/b2/getting-started/archive-b2-gs-faqs,"'B2-FAQs'",deprecated
https://docs.anthology.com/docs/archive/b2/getting-started/archive-b2-gs-first_steps,"First Steps with learn B2s",deprecated
https://docs.anthology.com/docs/archive/b2/getting-started/archive-b2-gs-intro,"Introduction to Building Blocks",deprecated
https://docs.anthology.com/docs/archive/b2/getting-started/archive-b2-gs-rosetta_stone,"'Rosetta Stone'",deprecated
https://docs.anthology.com/docs/archive/b2/getting-started/archive-b2-gs-starter_b2,"Starter Building Block Readme",deprecated
https://docs.anthology.com/docs/archive/b2/resources/archive-b2-resources-enable_remote_debug,"Enabling Remote Debugging",deprecated
https://docs.anthology.com/docs/archive/b2/resources/archive-b2-resources-first_project_gradle,"'First Project: Gradle, Git and b2-starter-template'",deprecated
https://docs.anthology.com/docs/archive/b2/resources/archive-b2-resources-java_11,"Java 11 for Learn: FAQ",deprecated
https://docs.anthology.com/docs/archive/b2/resources/archive-b2-resources-prepare_for_java_11,"8 Steps to prepare for Java 11",deprecated
https://docs.anthology.com/docs/archive/b2/resources/archive-b2-resources-prep_learn_q2,"Preparing Your B2 for Blackboard Learn 9.1 Q2 2016",deprecated
https://docs.anthology.com/docs/archive/b2/resources/archive-b2-resources-moving_to_saas,"Preparing Your Building Blocks For Learn SaaS and Newer Learn Versions",deprecated
https://docs.anthology.com/docs/archive/b2/resources/archive-b2-resources-scan_tool,"Scan tool for Learn SaaS",deprecated
https://docs.anthology.com/docs/archive/b2/resources/archive-b2-resources-useful_links,"'Useful Links'",deprecated
